name,sid,zipcode,household,age,gender,address
Callie,197,33174,2,24,F,"11470 SW 3rd St, Miami, FL 33174, USA"
Beaulah,272,33176,1,18,F,"9445 SW 112th St, Miami, FL 33176, USA"
Bird,14660,33010,4,19,F,"160 SE 9th Ct, Hialeah, FL 33010, USA"
Bula,13990,33184,2,18,F,"12800 SW 6th St, Miami, FL 33184, USA"
Cara,13539,33012,1,18,F,"4821 W 4th Ave, Hialeah, FL 33012, USA"
Carlie,8874,33032,2,18,F,"26324 SW 128th Ct, Homestead, FL 33032, USA"
Celina,8816,33183,2,23,F,"5913 SW 134th Pl, Miami, FL 33183, USA"
Christie,10287,33018,2,22,F,"3144 W 81st St, Hialeah, FL 33018, USA"
Clarinda,14962,33330,1,19,F,"5951 Melaleuca Rd, Southwest Ranches, FL 33330, USA"
Deliah,1807,33324,4,21,F,"131 SW 101st Ave, Plantation, FL 33324, USA"
Doshie,5717,33177,3,23,F,"19225 SW 129th Ave, Miami, FL 33177, USA"
Elfie,14358,33024,3,18,F,"2476 N University Dr, Pembroke Pines, FL 33024, USA"
Emelie,7350,33174,4,22,F,"Information Center, BLDG 14A, Miami, FL 33174, USA"
Ermine,697,33168,3,22,F,"225 NW 117th St, Miami, FL 33168, USA"
Eve,9631,33028,3,22,F,"15879 NW 11th St, Pembroke Pines, FL 33028, USA"
Evelina,10675,33165,2,25,F,"5430 SW 116th Ave, Miami, FL 33165, USA"
Avie,10836,33146,1,19,F,"4920 SW 72nd St, Coral Gables, FL 33146, USA"
Augustine,5547,33162,1,21,F,"1340 NE 176th St, North Miami Beach, FL 33162, USA"
Ammie,15543,33317,2,22,F,"6535 Nova Dr, Davie, FL 33317, USA"
Minna,15975,33179,4,21,F,"572 NE 191st Terrace, Miami, FL 33179, USA"
Miranda,5111,33134,4,18,F,"233 Santillane Ave, Coral Gables, FL 33134, USA"
Ninnie,8425,33012,3,25,F,"95 W 35th St, Hialeah, FL 33012, USA"
Orah,13462,33025,3,23,F,"11338 Miramar Pkwy, Miramar, FL 33025, USA"
Ossie,12061,33133,3,24,F,"4086 Battersea Rd, Miami, FL 33133, USA"
Paulina,1107,33185,1,20,F,"2932 SW 156th Pl, Miami, FL 33185, USA"
Queenie,10800,33175,2,24,F,"3711 SW 124th Ct, Miami, FL 33175, USA"
Ramona,3192,33165,2,19,F,"4395 SW 115th Ave, Miami, FL 33165, USA"
Rebekah,356,33311,2,23,F,"1705 NW 16th St, Fort Lauderdale, FL 33311, USA"
Rossie,2625,33175,4,24,F,"11813 SW 37th St, Miami, FL 33175, USA"
Tempie,5693,33026,1,23,F,"1585 E Sandpiper Cir, Pembroke Pines, FL 33026, USA"
Theo,6525,33173,2,22,F,"7200 SW 100th Ave, Miami, FL 33173, USA"
Vertie,9879,33004,3,25,F,"507 E Dania Beach Blvd, Dania Beach, FL 33004, USA"
Zadie,6940,33186,3,20,F,"13721 SW 105th St, Miami, FL 33186, USA"
Aggie,5181,33166,2,19,F,"7974 NW 71st St, Miami, FL 33166, USA"
Aletha,6983,33021,3,23,F,"903 N Golf Dr, Hollywood, FL 33021, USA"
Almina,6297,33178,3,22,F,"10805 NW 100th St, Medley, FL 33178, USA"
Amalie,15956,33317,3,24,F,"900 NW 65th Ave, Plantation, FL 33317, USA"
Amie,2812,33182,4,25,F,"1810 NW 117th Pl, Miami, FL 33182, USA"
Margarett,13188,33166,2,25,F,"7040 NW 72nd Ave, Miami, FL 33166, USA"
Georgeanna,4579,33055,2,21,F,"5420 NW 180th Terrace, Miami Gardens, FL 33055, USA"
Harry,11289,33126,1,22,F,"1301 NW 84th Ave, Miami, FL 33126, USA"
Myrtice,2471,33032,3,20,F,"24350 SW 147th Ave, Princeton, FL 33032, USA"
Nella,13772,33015,1,25,F,"6361 NW 170th Ln, Hialeah, FL 33015, USA"
Ottilia,2855,33186,2,22,F,"8273 SW 124th St, Miami, FL 33186, USA"
Perry,6512,33179,2,18,F,"21139 NE 4th Ct, Miami, FL 33179, USA"
Reta,4062,33177,2,21,F,"20581 SW 142nd Ct, Miami, FL 33177, USA"
Ruthie,2266,33025,1,22,F,"11500 SW 26 St, Miramar, FL 33025, USA"
Sabina,6774,33012,3,25,F,"4120 W 10th Ave, Hialeah, FL 33012, USA"
Selena,13903,33176,4,20,F,"13713 SW 90th Ave, Miami, FL 33176, USA"
Sister,9944,33012,3,19,F,"841 W 50th Pl, Hialeah, FL 33012, USA"
Thelma,14305,33125,4,21,F,"811 NW 32nd Ct, Miami, FL 33125, USA"
Theresia,14126,33162,3,22,F,"157 NE 179th St, Miami, FL 33162, USA"
Minda,8492,33173,3,23,F,"8767 SW 76th St, Miami, FL 33173, USA"
Mercedes,11307,33176,1,20,F,"10841 SW 125th St, Miami, FL 33176, USA"
Maymie,12318,33196,4,22,F,"16564 SW 91st Terrace, Miami, FL 33196, USA"
Hennie,6832,33157,4,18,F,"17225 SW 77th Ct, Palmetto Bay, FL 33157, USA"
Honora,2835,33175,1,23,F,"2590 SW 122nd Ct, Miami, FL 33175, USA"
Icie,731,33023,2,19,F,"6141 SW 37th St, Miramar, FL 33023, USA"
Jeannie,1618,33168,2,19,F,"271 NW 146th St, Miami, FL 33168, USA"
Jeffie,6417,33324,2,18,F,"70 SW 91st Ave, Plantation, FL 33324, USA"
Jesse,219,33014,4,20,F,"5220 NW 165th St, Miami Gardens, FL 33014, USA"
Jessica,14157,33178,4,24,F,"10052 NW 41st St, Doral, FL 33178, USA"
Joan,1232,33056,4,21,F,"20451 NW 20th Ave, Miami Gardens, FL 33056, USA"
Joyce,3347,33010,2,22,F,"158 E 6th St, Hialeah, FL 33010, USA"
Justine,1297,33027,2,18,F,"16700 SW 48th Ct, Miramar, FL 33027, USA"
Katharina,13666,33126,4,22,F,"5367 Perimeter Rd, Miami, FL 33126, USA"
Glendora,8573,33138,3,18,F,"145 NE 91st St, Miami Shores, FL 33138, USA"
Leontine,6690,33170,3,25,F,"12801 SW 216th Terrace, Miami, FL 33170, USA"
Litha,7325,33054,1,21,F,"16118 NW 39th Ct, Opa-locka, FL 33054, USA"
Macie,475,33147,3,25,F,"7900 NW 27th Ave #234, Miami, FL 33147, USA"
Madeleine,14195,33031,2,18,F,"26400 SW 167th Ave, Homestead, FL 33031, USA"
Mammie,10702,33141,3,22,F,"1240 Stillwater Dr, Miami, FL 33141, USA"
Mannie,2026,33157,3,19,F,"9551 SW 165th St, Miami, FL 33157, USA"
Margarita,10626,33155,3,22,F,"7465 SW 31st St, Miami, FL 33155, USA"
Marget,15429,33168,2,23,F,"125 NW 147th St, Miami, FL 33168, USA"
Marianna,11199,33175,4,18,F,"4604 SW 134th Ct, Miami, FL 33175, USA"
Leva,15889,33196,4,19,F,"10003 SW 147th Ct, Miami, FL 33196, USA"
Louetta,4640,33170,1,21,F,"17360 SW 232nd St, Miami, FL 33170, USA"
Beryl,6820,33172,1,21,F,"2000 NW 107th Ave, Miami, FL 33172, USA"
Carlotta,11166,33172,3,19,F,"8720 NW 33rd St, Miami, FL 33172, USA"
Celestia,10052,33176,2,23,F,"14610 SW 99th Ave, Miami, FL 33176, USA"
Dagmar,11637,33175,1,18,F,"5011 SW 133rd Ave, Miami, FL 33175, USA"
Dina,15144,33165,2,20,F,"2200 SW 117th Ave, Miami, FL 33165, USA"
Drusilla,14726,33186,1,20,F,"14655 SW 122nd Ave, Miami, FL 33186, USA"
Elenora,1742,33033,3,20,F,"29463 SW 165th Ave, Homestead, FL 33033, USA"
Elisa,14810,33178,3,25,F,"12101 NW 58th St, Miami, FL 33178, USA"
Eller,4278,33054,1,18,F,"5097 FL-916, Opa-locka, FL 33054, USA"
Elodie,7650,33331,3,20,F,"14920 Foxheath Dr, Southwest Ranches, FL 33331, USA"
Evalena,15023,33182,2,20,F,"10 NW 122nd Ave, Miami, FL 33182, USA"
Florine,10401,33024,2,23,F,"7830 NW 11th Ct, Pembroke Pines, FL 33024, USA"
